NSDL Scheme Code,Scheme Name,TER Date (Change),Old Regular Plan - Base TER (%),New Regular Plan - Base TER (%),Regular Plan - TER Reduction (%),Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),Direct Plan - TER Reduction (%),Difference (Direct - Regular) TER Reduction (%)
NIMF/O/H/ESF/14/12/0055,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),2026-02-01,1.67,1.51,0.16,0.59,0.43,0.16,0.0
NIMF/O/H/MAA/20/01/0106,Nippon India Multi Asset Allocation Fund,2026-02-01,1.29,1.28,0.01,0.17,0.18,-0.01,-0.02
NIMF/O/O/DIN/22/09/0125,Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund,2026-02-01,0.37,0.36,0.01,0.19,0.18,0.01,0.0
NIMF/O/O/EIN/20/03/0109,Nippon India Nifty Smallcap 250 Index Fund,2026-02-01,0.92,0.93,-0.01,0.32,0.31,0.01,0.02
NIMF/O/O/EIN/21/10/0123,Nippon India Nifty Alpha Low Volatility 30 Index Fund,2026-02-01,0.84,0.82,0.02,0.32,0.31,0.01,-0.01
NIMF/O/O/EIN/25/02/0164,NIPPON INDIA NIFTY INDIA MANUFACTURING INDEX FUND,2026-02-01,0.76,0.78,-0.02,0.25,0.24,0.01,0.03
NIMF/O/S/RET/14/07/0052,Nippon India Retirement Fund- Wealth Creation Scheme,2026-02-01,1.8,1.79,0.01,0.85,0.84,0.01,0.0
NJMF/O/E/FCF/23/02/0005,NJ Flexi Cap Fund,2026-02-01,1.85,1.84,0.01,0.38,0.37,0.01,0.0
NSDL Code not allocated,UTI - Unit Linked Insurance Plan,2026-02-01,1.47,1.46,0.01,0.85,0.86,-0.01,-0.02
OLDB/O/E/MCF/23/11/0001,Old Bridge Focused Fund,2026-02-01,1.85,1.84,0.01,0.8,0.79,0.01,0.0
PGIM/O/D/ONF/19/02/0020,PGIM India Overnight Fund,2026-02-01,0.17,0.19,-0.02,0.14,0.16,-0.02,0.0
PGIM/O/E/ELS/15/05/0017,PGIM India ELSS Tax Saver Fund,2026-02-01,2.17,2.16,0.01,0.65,0.64,0.01,0.0
PGIM/O/E/FCF/13/12/0015,PGIM India Flexi cap fund,2026-02-01,1.68,1.67,0.01,0.34,0.38,-0.04,-0.05
PGIM/O/E/LCF/02/12/0003,PGIM India Large Cap Fund,2026-02-01,2.22,2.21,0.01,0.69,0.68,0.01,0.0
PGIM/O/E/LMF/23/07/0026,PGIM India Large and Midcap Fund,2026-02-01,2.15,2.13,0.02,0.49,0.48,0.01,-0.01
PGIM/O/E/MIF/13/08/0014,PGIM India Midcap Fund,2026-02-01,1.6,1.59,0.01,0.36,0.4,-0.04,-0.05
PGIM/O/E/SCF/21/06/0023,PGIM India Small Cap Fund,2026-02-01,1.96,1.95,0.01,0.45,0.44,0.01,0.0
PGIM/O/H/BAF/20/09/0022,PGIM India Balanced Advantage Fund,2026-02-01,2.08,2.09,-0.01,0.46,0.47,-0.01,0.0
PGIM/O/H/MAA/25/08/0030,PGIM India Multi Asset Allocation Fund,2026-02-01,2.16,2.15,0.01,0.5,0.44,0.06,0.049999999999999996
PGIM/O/O/DIN/23/01/0025,PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund,2026-02-01,0.47,0.67,-0.2,0.33,0.48,-0.15,0.05000000000000002
PGIM/O/O/FOO/10/02/0011,PGIM India Global Equity Opportunities Fund of Fund,2026-02-01,1.44,1.42,0.02,0.49,0.48,0.01,-0.01
QNTM/O/E/DAA/23/02/0018,Quant Dynamic Asset Allocation Fund,2026-02-01,2.05,2.06,-0.01,0.62,0.65,-0.03,-0.019999999999999997
QNTM/O/E/ELS/00/03/0002,Quant ELSS Tax Saver Fund,2026-02-01,1.59,1.58,0.01,0.58,0.64,-0.06,-0.06999999999999999
QNTM/O/E/FCF/08/08/0011,QUANT FLEXI CAP FUND,2026-02-01,1.68,1.67,0.01,0.57,0.56,0.01,0.0
QNTM/O/E/FOC/08/07/0010,QUANT FOCUSED FUND,2026-02-01,2.1,2.11,-0.01,0.67,0.66,0.01,0.02
QNTM/O/E/LCF/22/05/0015,QUANT LARGE CAP FUND,2026-02-01,1.81,1.8,0.01,0.39,0.38,0.01,0.0
QNTM/O/E/LMF/06/11/0008,QUANT LARGE & MID CAP FUND,2026-02-01,1.79,1.8,-0.01,0.59,0.61,-0.02,-0.01
QNTM/O/E/MCF/01/02/0004,Quant Multi Cap Fund,2026-02-01,1.65,1.64,0.01,0.54,0.56,-0.02,-0.03
QNTM/O/E/MIF/01/02/0003,QUANT MID CAP FUND,2026-02-01,1.64,1.65,-0.01,0.62,0.65,-0.03,-0.019999999999999997
QNTM/O/E/SCF/96/09/0001,QUANT SMALL CAP FUND,2026-02-01,1.45,1.46,-0.01,0.61,0.63,-0.02,-0.01
QNTM/O/E/THE/07/07/0009,QUANT INFRASTRUCTURE FUND,2026-02-01,1.8,1.81,-0.01,0.59,0.64,-0.05,-0.04
QNTM/O/E/THE/21/03/0013,QUANT QUANTAMENTAL FUND,2026-02-01,1.94,1.95,-0.01,0.65,0.69,-0.04,-0.03
QNTM/O/E/THE/23/03/0019,QUANT BUSINESS CYCLE FUND,2026-02-01,2.07,2.06,0.01,0.56,0.57,-0.01,-0.02
QNTM/O/E/THE/23/03/0020,Quant BFSI Fund,2026-02-01,2.16,2.15,0.01,0.62,0.6,0.02,0.01
QNTM/O/E/THE/23/04/0022,Quant Manufacturing Fund,2026-02-01,2.18,2.19,-0.01,0.81,0.83,-0.02,-0.01
QNTM/O/E/THE/23/09/0024,Quant Momentum Fund,2026-02-01,1.97,1.98,-0.01,0.81,0.83,-0.02,-0.01
QNTM/O/E/THE/23/11/0027,Quant PSU Fund,2026-02-01,2.23,2.25,-0.02,0.88,0.91,-0.03,-0.009999999999999998
QNTM/O/E/VAF/21/10/0014,QUANT VALUE FUND,2026-02-01,1.95,1.94,0.01,0.45,0.44,0.01,0.0
QNTM/O/H/AHF/01/02/0005,Quant Aggressive Hybrid Fund,2026-02-01,1.91,1.9,0.01,0.65,0.64,0.01,0.0
QNTM/O/H/ARB/25/02/0028,Quant Arbitrage Fund,2026-02-01,0.86,0.85,0.01,0.23,0.2,0.03,0.019999999999999997
QTMM/O/D/DBF/15/03/0009,QUANTUM DYNAMIC BOND FUND,2026-02-01,0.96,0.95,0.01,0.45,0.44,0.01,0.0
QTMM/O/H/MAA/23/09/0013,Quantum Multi Asset Allocation Fund,2026-02-01,1.97,1.96,0.01,0.38,0.37,0.01,0.0
SAMC/O/E/THE/23/04/0004,Samco Active Momentum Fund,2026-02-01,2.13,2.18,-0.05,0.7,0.75,-0.05,0.0
SBIM/O/E/COF/99/04/0009,SBI CONTRA FUND,2026-02-01,1.35,1.34,0.01,0.54,0.55,-0.01,-0.02
SBIM/O/E/DYF/23/01/0168,SBI Dividend Yield Fund,2026-02-01,1.63,1.62,0.01,0.67,0.66,0.01,0.0
SBIM/O/E/FCF/05/07/0026,SBI FLEXICAP FUND,2026-02-01,1.5,1.49,0.01,0.67,0.66,0.01,0.0
SBIM/O/E/FOC/99/04/0010,SBI Focused Fund,2026-02-01,1.38,1.37,0.01,0.59,0.58,0.01,0.0
SBIM/O/E/LCF/05/12/0027,SBI Large Cap Fund,2026-02-01,1.32,1.31,0.01,0.64,0.63,0.01,0.0
SBIM/O/E/LMF/98/04/0003,SBI LARGE & MIDCAP FUND,2026-02-01,1.41,1.4,0.01,0.58,0.57,0.01,0.0
SBIM/O/E/MCF/21/11/0144,SBI MultiCap Fund,2026-02-01,1.5,1.49,0.01,0.66,0.67,-0.01,-0.02
SBIM/O/E/MIF/05/01/0023,SBI Midcap Fund,2026-02-01,1.5,1.49,0.01,0.68,0.67,0.01,0.0
SBIM/O/E/SCF/09/08/0033,SBI SMALL CAP FUND,2026-02-01,1.43,1.42,0.01,0.61,0.6,0.01,0.0
SBIM/O/E/SEC/05/06/0024,SBI Comma Fund,2026-02-01,2.11,2.07,0.04,1.32,1.29,0.03,-0.010000000000000002
SBIM/O/E/SEC/07/04/0029,SBI INFRASTRUCTURE FUND,2026-02-01,1.74,1.73,0.01,0.87,0.84,0.03,0.019999999999999997
SBIM/O/E/SEC/10/02/0035,SBI PSU FUND,2026-02-01,1.69,1.68,0.01,0.67,0.66,0.01,0.0
SBIM/O/E/SEC/14/09/0039,SBI BANKING & FINANCIAL SERVICES FUND,2026-02-01,1.61,1.6,0.01,0.58,0.57,0.01,0.0
SBIM/O/E/SEC/99/04/0007,SBI TECHNOLOGY OPPORTUNITIES FUND,2026-02-01,1.71,1.72,-0.01,0.73,0.72,0.01,0.02
SBIM/O/E/SEC/99/04/0008,SBI HEALTHCARE OPPORTUNITIES FUND,2026-02-01,1.76,1.75,0.01,0.74,0.73,0.01,0.0
SBIM/O/E/THE/24/01/0177,SBI Energy Opportunities Fund,2026-02-01,1.63,1.62,0.01,0.65,0.63,0.02,0.01
SBIM/O/E/THE/24/01/0178,SBI Automotive Opportunities Fund,2026-02-01,1.72,1.71,0.01,0.67,0.65,0.02,0.01
SBIM/O/E/THE/24/05/0182,SBI Innovative Opportunities Fund,2026-02-01,1.71,1.7,0.01,0.73,0.74,-0.01,-0.02
SBIM/O/E/THE/24/06/0185,SBI Quant Fund,2026-02-01,1.76,1.77,-0.01,0.61,0.64,-0.03,-0.019999999999999997
SBIM/O/E/THE/97/01/0001,SBI ESG Exclusionary Strategy Fund,2026-02-01,1.69,1.7,-0.01,1.09,1.1,-0.01,0.0
SBIM/O/E/THE/99/04/0006,SBI CONSUMPTION OPPORTUNITIES FUND,2026-02-01,1.79,1.8,-0.01,0.74,0.73,0.01,0.02
SBIM/O/E/THE/99/08/0013,SBI MNC Fund,2026-02-01,1.7,1.69,0.01,1.02,1.01,0.01,0.0
SBIM/O/H/AHF/97/12/0002,SBI EQUITY HYBRID FUND,2026-02-01,1.23,1.22,0.01,0.55,0.56,-0.01,-0.02
SBIM/O/H/DAA/21/07/0133,SBI Balanced Advantage Fund,2026-02-01,1.4,1.39,0.01,0.55,0.57,-0.02,-0.03
SBIM/O/H/ESF/15/01/0045,SBI EQUITY SAVINGS FUND,2026-02-01,1.34,1.33,0.01,0.77,0.76,0.01,0.0
SBIM/O/H/MAA/05/06/0025,SBI MULTI ASSET ALLOCATION FUND,2026-02-01,1.27,1.26,0.01,0.47,0.46,0.01,0.0
SBIM/O/O/FOD/11/08/0036,SBI GOLD FUND,2026-02-01,0.35,0.38,-0.03,0.1,0.2,-0.1,-0.07
SBIM/O/O/FOD/25/04/0195,SBI Dynamic Asset Allocation Active FoF,2026-02-01,1.25,1.24,0.01,0.2,0.21,-0.01,-0.02
SBIM/O/S/CHI/20/06/0116,SBI Children's Fund - Investment Plan,2026-02-01,1.72,1.71,0.01,0.71,0.7,0.01,0.0
SBIM/O/S/RET/20/01/0111,SBI Retirement Benefit Fund - Aggressive Plan,2026-02-01,1.8,1.79,0.01,0.76,0.75,0.01,0.0
SBIM/O/S/RET/20/01/0112,SBI Retirement Benefit Fund - Aggressive Hybrid Plan,2026-02-01,1.91,1.9,0.01,0.9,0.89,0.01,0.0
SUND/O/D/USD/07/07/0021,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund),2026-02-01,1.39,1.4,-0.01,0.2,0.21,-0.01,0.0
SUND/O/E/DYF/04/08/0012,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund),2026-02-01,2.1,2.09,0.01,0.85,0.84,0.01,0.0
SUND/O/E/ELS/95/12/0001,Sundaram ELSS Tax Saver Fund,2026-02-01,1.98,1.97,0.01,1.32,1.31,0.01,0.0
SUND/O/E/ELS/99/08/0004,Sundaram Value Fund,2026-02-01,1.98,1.97,0.01,1.39,1.38,0.01,0.0
SUND/O/E/FCF/22/07/0052,Sundaram Flexicap Fund,2026-02-01,1.9,1.89,0.01,0.56,0.55,0.01,0.0
SUND/O/E/FOC/05/05/0016,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund),2026-02-01,2.05,2.04,0.01,1.01,1.0,0.01,0.0
SUND/O/E/LCF/20/01/0051,Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund),2026-02-01,1.79,1.78,0.01,0.53,0.52,0.01,0.0
SUND/O/E/LMF/06/12/0019,Sundaram Large and Midcap Fund,2026-02-01,1.67,1.66,0.01,0.54,0.53,0.01,0.0
SUND/O/E/MCF/00/09/0006,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund),2026-02-01,1.82,1.81,0.01,0.72,0.71,0.01,0.0
SUND/O/E/SCF/04/12/0013,Sundaram Small Cap Fund,2026-02-01,1.78,1.77,0.01,0.67,0.66,0.01,0.0
SUND/O/E/SEC/08/03/0022,Sundaram Financial Services Opportunities Fund,2026-02-01,1.94,1.93,0.01,0.62,0.61,0.01,0.0
SUND/O/E/THE/05/06/0017,Sundaram Infrastructure Advantage Fund (Erstwhile Sundaram Capex Opportunities),2026-02-01,2.09,2.07,0.02,1.32,1.31,0.01,-0.01
SUND/O/E/THE/05/06/0018,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund),2026-02-01,1.96,1.95,0.01,0.99,0.98,0.01,0.0
SUND/O/E/THE/18/07/0047,Sundaram Services Fund,2026-02-01,1.71,1.72,-0.01,0.52,0.53,-0.01,0.0
SUND/O/E/THE/24/04/0054,Sundaram Business Cycle Fund,2026-02-01,1.94,1.93,0.01,0.47,0.46,0.01,0.0
SUND/O/E/THE/25/04/0055,Sundaram Multi-Factor Fund,2026-02-01,2.06,2.05,0.01,0.46,0.45,0.01,0.0
SUND/O/H/ARB/15/09/0026,Sundaram Arbitrage Fund(Formerly Known as Prinicpal Arbitrage Fund),2026-02-01,0.96,0.97,-0.01,0.26,0.25,0.01,0.02
SUND/O/H/BAF/10/09/0024,Sundaram Balanced Advantage Fund (Formerly Known as Principal Balanced Advantage Fund),2026-02-01,1.92,1.93,-0.01,0.46,0.47,-0.01,0.0
SUND/O/H/BHF/99/12/0005,Sundaram Aggressive Hybrid Fund (Formerly Known as Principal Hybrid Equity Fund),2026-02-01,1.62,1.63,-0.01,0.59,0.6,-0.01,0.0
SUND/O/H/MAA/23/12/0053,Sundaram Multi Asset Allocation Fund,2026-02-01,1.72,1.71,0.01,0.29,0.3,-0.01,-0.02
SUND/O/O/FOD/25/09/0056,Sundaram Income Plus Arbitrage Active FoF,2026-02-01,0.71,0.69,0.02,0.41,0.39,0.02,0.0
TATA/O/E /MCF/22/10/0053,Tata Multicap Fund,2026-02-01,1.78,1.77,0.01,0.36,0.35,0.01,0.0
TATA/O/E/DYF/21/03/0042,Tata Dividend Yield Fund,2026-02-01,2.06,2.05,0.01,0.42,0.48,-0.06,-0.06999999999999999
TATA/O/E/ELS/95/11/0005,Tata Elss Fund,2026-02-01,1.73,1.72,0.01,0.65,0.64,0.01,0.0
TATA/O/E/FCF/18/05/0029,Tata Flexi Cap Fund,2026-02-01,1.77,1.76,0.01,0.49,0.48,0.01,0.0
TATA/O/E/FOC/19/10/0040,Tata Focused Fund,2026-02-01,1.92,1.91,0.01,0.51,0.55,-0.04,-0.05
TATA/O/E/LCF/98/02/0009,Tata Large Cap Fund,2026-02-01,1.82,1.81,0.01,0.8,0.79,0.01,0.0
TATA/O/E/LMF/93/01/0001,Tata Large & Mid Cap Fund,2026-02-01,1.62,1.63,-0.01,0.57,0.56,0.01,0.02
TATA/O/E/MIF/94/05/0002,Tata Mid Cap Fund,2026-02-01,1.71,1.7,0.01,0.52,0.51,0.01,0.0
TATA/O/E/SCF/18/08/0033,Tata Small Cap Fund,2026-02-01,1.6,1.59,0.01,0.32,0.31,0.01,0.0
TATA/O/E/SEC/04/08/0019,Tata Infrastructure Fund,2026-02-01,1.91,1.9,0.01,0.98,0.96,0.02,0.01
TATA/O/E/SEC/15/10/0024,Tata Banking & Financial Services Fund,2026-02-01,1.79,1.78,0.01,0.41,0.4,0.01,0.0
TATA/O/E/SEC/15/10/0025,Tata Digital India Fund,2026-02-01,1.57,1.58,-0.01,0.39,0.4,-0.01,0.0
TATA/O/E/SEC/15/10/0026,Tata India Consumer Fund,2026-02-01,1.84,1.83,0.01,0.61,0.6,0.01,0.0
TATA/O/E/SEC/15/10/0027,Tata India Pharma & Healthcare Fund,2026-02-01,1.98,1.99,-0.01,0.57,0.56,0.01,0.02
TATA/O/E/SEC/15/10/0028,Tata Resources & Energy Fund,2026-02-01,2.0,1.99,0.01,0.48,0.46,0.02,0.01
TATA/O/E/THE/21/06/0045,Tata Business Cycle Fund,2026-02-01,1.81,1.82,-0.01,0.39,0.46,-0.07,-0.060000000000000005
TATA/O/E/THE/22/07/0049,Tata Housing Opportunities Fund,2026-02-01,2.23,2.24,-0.01,0.59,0.65,-0.06,-0.049999999999999996
TATA/O/E/THE/24/10/0072,Tata India Innovation Fund,2026-02-01,1.96,1.95,0.01,0.44,0.51,-0.07,-0.08
TATA/O/E/THE/96/02/0006,Tata Ethical Fund,2026-02-01,1.76,1.75,0.01,0.51,0.57,-0.06,-0.06999999999999999
TATA/O/H/AHF/95/07/0003,Tata Aggressive Hybrid Fund,2026-02-01,1.73,1.74,-0.01,0.8,0.79,0.01,0.02
TATA/O/H/MAA/19/09/0039,Tata Multi Asset Allocation Fund,2026-02-01,1.72,1.71,0.01,0.29,0.34,-0.05,-0.060000000000000005
TATA/O/O /DIN/22/11/0054,TATA NIFTY G-SEC DEC 2029 INDEX FUND,2026-02-01,0.44,0.43,0.01,0.12,0.11,0.01,0.0
TATA/O/S/RET/11/06/0022,Tata Retirement Savings Fund-Moderate Plan,2026-02-01,1.89,1.88,0.01,0.48,0.54,-0.06,-0.06999999999999999
TATA/O/S/RET/11/06/0023,Tata Retirement Savings Fund-Progressive Plan,2026-02-01,1.88,1.89,-0.01,0.5,0.49,0.01,0.02
TAUR/O/E/SEC/06/08/0005,Taurus Infrastructure Fund,2026-02-01,2.21,2.22,-0.01,1.64,1.34,0.3,0.31
TAUR/O/E/SEC/11/11/0008,Taurus Banking & Financial Services Fund,2026-02-01,2.23,2.22,0.01,1.37,1.59,-0.22,-0.23
TWCF/O/H/MAA/25/09/0005,THE WEALTH COMPANY MULTI ASSET ALLOCATION FUND,2026-02-01,1.95,1.93,0.02,0.31,0.32,-0.01,-0.03
UNIN/O/E/ELS/11/08/0003,Union ELSS Tax Saver Fund (Formerly Union Tax Saver (ELSS) Fund,2026-02-01,2.09,2.1,-0.01,1.15,1.14,0.01,0.02
UNIN/O/E/FCF/11/04/0001,Union Flexi Cap Fund,2026-02-01,1.86,1.85,0.01,0.77,0.76,0.01,0.0
UNIN/O/E/LMF/19/09/0014,Union Large & Midcap Fund,2026-02-01,2.09,2.08,0.01,0.84,0.83,0.01,0.0
UNIN/O/E/MCF/22/07/0021,Union Multicap Fund,2026-02-01,1.99,1.98,0.01,0.83,0.82,0.01,0.0
UNIN/O/E/MIF/19/12/0016,Union Midcap Fund,2026-02-01,1.95,1.94,0.01,0.6,0.59,0.01,0.0
UNIN/O/E/SCF/14/03/0005,Union Small Cap Fund,2026-02-01,1.93,1.92,0.01,0.8,0.78,0.02,0.01
UNIN/O/E/THE/23/02/0023,Union Innovation & Opportunities Fund,2026-02-01,2.04,2.03,0.01,0.68,0.66,0.02,0.01
UNIN/O/E/THE/24/01/0025,Union Business Cycle Fund,2026-02-01,2.22,2.23,-0.01,1.29,1.28,0.01,0.02
UNIN/O/H /MAA/24/07/0026,Union Multi Asset Allocation Fund,2026-02-01,1.95,1.96,-0.01,0.83,0.81,0.02,0.03
UNIN/O/H/ARB/18/12/0011,Union Arbitrage Fund,2026-02-01,1.03,0.95,0.08,0.35,0.34,0.01,-0.07
UTIM/O/D/BPF/13/09/0055,UTI Banking & PSU Fund,2026-02-01,0.43,0.44,-0.01,0.17,0.18,-0.01,0.0
UTIM/O/D/USD/03/08/0018,UTI Ultra Short Duration Fund,2026-02-01,0.95,0.94,0.01,0.29,0.28,0.01,0.0
UTIM/O/E/DYF/05/03/0024,UTI - Dividend Yield Fund,2026-02-01,1.76,1.75,0.01,1.2,1.18,0.02,0.01
UTIM/O/E/ELS/99/10/0012,UTI ELSS Tax Saver Fund,2026-02-01,1.77,1.76,0.01,0.79,0.81,-0.02,-0.03
UTIM/O/E/FCF/92/05/0002,UTI - Flexi Cap Fund.,2026-02-01,1.48,1.49,-0.01,0.85,0.86,-0.01,0.0
UTIM/O/E/FOC/21/05/0096,UTI Focused Fund,2026-02-01,1.84,1.83,0.01,0.5,0.49,0.01,0.0
UTIM/O/E/LCF/86/10/0001,UTI - Large Cap Fund,2026-02-01,1.58,1.57,0.01,0.75,0.74,0.01,0.0
UTIM/O/E/LMF/09/05/0052,UTI Large & Mid Cap Fund,2026-02-01,1.7,1.69,0.01,0.74,0.73,0.01,0.0
UTIM/O/E/MCF/24/12/0130,UTI Multi Cap Fund,2026-02-01,1.92,1.91,0.01,0.59,0.58,0.01,0.0
UTIM/O/E/MIF/04/01/0020,UTI - Mid Cap Fund,2026-02-01,1.59,1.58,0.01,0.73,0.74,-0.01,-0.02
UTIM/O/E/SCF/20/03/0094,UTI Small Cap Fund,2026-02-01,1.74,1.73,0.01,0.5,0.52,-0.02,-0.03
UTIM/O/E/SEC/04/01/0022,UTI - Banking and Financial Services Fund,2026-02-01,1.95,1.94,0.01,0.87,0.86,0.01,0.0
UTIM/O/E/SEC/04/01/0023,UTI - Transportation and Logistics Fund,2026-02-01,1.76,1.75,0.01,0.67,0.66,0.01,0.0
UTIM/O/E/SEC/99/05/0009,UTI - Healthcare Fund,2026-02-01,2.04,2.03,0.01,1.07,1.05,0.02,0.01
UTIM/O/E/THE/04/01/0021,UTI - Infrastructure Fund,2026-02-01,1.89,1.88,0.01,1.63,1.61,0.02,0.01
UTIM/O/E/THE/07/05/0033,UTI - India Consumer Fund,2026-02-01,2.18,2.17,0.01,1.32,1.31,0.01,0.0
UTIM/O/E/THE/23/03/0118,UTI Innovation Fund,2026-02-01,2.12,2.16,-0.04,0.7,0.75,-0.05,-0.010000000000000002
UTIM/O/E/THE/98/05/0008,UTI - MNC Fund,2026-02-01,1.81,1.82,-0.01,1.04,1.05,-0.01,0.0
UTIM/O/H/AHF/95/01/0005,UTI Aggressive Hybrid Fund,2026-02-01,1.65,1.64,0.01,0.99,0.97,0.02,0.01
UTIM/O/H/ARB/06/01/0026,UTI - Arbitrage Fund,2026-02-01,0.75,0.76,-0.01,0.22,0.23,-0.01,0.0
UTIM/O/H/MAA/08/09/0051,UTI Multi Asset Allocation Fund,2026-02-01,1.57,1.58,-0.01,0.44,0.46,-0.02,-0.01
UTIM/O/O/EIN/21/09/0098,UTI Nifty Midcap 150 Quality 50 Index Fund,2026-02-01,0.97,0.96,0.01,0.52,0.51,0.01,0.0
UTIM/O/S/RET/94/11/0004,UTI Retirement Fund,2026-02-01,1.48,1.47,0.01,0.93,0.92,0.01,0.0
UTIM/OS/CHI/08/01/0043,UTI Children's Equity Fund,2026-02-01,2.01,2.02,-0.01,0.98,0.99,-0.01,0.0
WHIT/O/E/FCF/22/03/0004,WhiteOak Capital Flexi Cap Fund,2026-02-01,1.66,1.65,0.01,0.4,0.39,0.01,0.0
WHIT/O/E/LCF/22/06/0007,WhiteOak Capital Large Cap Fund,2026-02-01,2.03,2.02,0.01,0.47,0.48,-0.01,-0.02
WHIT/O/E/LMF/23/10/0013,WhiteOak Capital Large & Mid Cap Fund,2026-02-01,1.9,1.89,0.01,0.43,0.44,-0.01,-0.02
WHIT/O/E/MCF/23/08/0011,WhiteOak Capital Multi Cap Fund,2026-02-01,1.81,1.8,0.01,0.4,0.43,-0.03,-0.04
WHIT/O/E/MIF/22/05/0005,WhiteOak Capital Mid Cap Fund,2026-02-01,1.74,1.73,0.01,0.42,0.43,-0.01,-0.02
WHIT/O/E/SEC/23/12/0015,WhiteOak Capital Pharma and Healthcare Fund,2026-02-01,2.25,2.24,0.01,0.53,0.54,-0.01,-0.02
WHIT/O/E/THE/23/10/0014,WhiteOak Capital Banking & Financial Services Fund,2026-02-01,2.22,2.21,0.01,0.51,0.52,-0.01,-0.02
WHIT/O/E/THE/24/04/0016,Whiteoak Capital Special Opportunities Fund,2026-02-01,1.98,1.97,0.01,0.46,0.5,-0.04,-0.05
WHIT/O/E/THE/24/11/0020,WhiteOak Capital Quality Equity Fund,2026-02-01,2.18,2.19,-0.01,0.52,0.55,-0.03,-0.019999999999999997
WHIT/O/H/ARB/24/05/0017,WhiteOak Capital Arbitrage Fund,2026-02-01,1.01,1.02,-0.01,0.28,0.29,-0.01,0.0
WHIT/O/H/BAF/22/10/0008,WhiteOak Capital Balanced Advantage Fund,2026-02-01,1.89,1.88,0.01,0.46,0.49,-0.03,-0.04
WHIT/O/H/MAA/23/02/0010,WhiteOak Capital Multi Asset Allocation Fund,2026-02-01,1.44,1.42,0.02,0.27,0.29,-0.02,-0.04
