NSDL Scheme Code,Scheme Name,TER Date (Change),Old Regular Plan - Base TER (%),New Regular Plan - Base TER (%),Regular Plan - TER Reduction (%),Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),Direct Plan - TER Reduction (%),Difference (Direct - Regular) TER Reduction (%)
AXIS/O/E/THE/20/07/0046,Axis Innovation Fund,2026-02-01,2.02,2.01,0.01,1.07,1.06,0.01,0.0
AXIS/O/E/THE/22/12/0070,Axis Business Cycles Fund,2026-02-01,1.87,1.88,-0.01,0.75,0.74,0.01,0.02
AXIS/O/E/THE/23/09/0079,Axis India Manufacturing Fund,2026-02-01,1.73,1.72,0.01,0.41,0.42,-0.01,-0.02
AXIS/O/E/THE/24/06/0088,Axis Consumption Fund,2026-02-01,1.78,1.79,-0.01,0.48,0.49,-0.01,0.0
AXIS/O/E/THE/24/09/0092,Axis Momentum Fund,2026-02-01,2.02,2.03,-0.01,0.48,0.56,-0.08,-0.07
AXIS/O/E/THE/25/03/0098,Axis Services Opportunities Fund,2026-02-01,1.92,1.93,-0.01,0.56,0.57,-0.01,0.0
AXIS/O/E/VAF/20/09/0048,Axis Value Fund,2026-02-01,1.98,1.97,0.01,0.57,0.55,0.02,0.01
AXIS/O/H/AHF/18/05/0027,Axis Aggressive Hybrid Fund,2026-02-01,1.96,1.95,0.01,0.87,0.86,0.01,0.0
AXIS/O/H/ARB/14/05/0018,Axis Arbitrage Fund,2026-02-01,0.97,0.98,-0.01,0.28,0.29,-0.01,0.0
AXIS/O/H/ESF/15/06/0019,Axis Equity Savings Fund,2026-02-01,2.07,2.08,-0.01,0.86,0.87,-0.01,0.0
AXIS/O/H/MAA/10/05/0007,Axis Multi Asset Allocation Fund,2026-02-01,1.77,1.75,0.02,0.73,0.7,0.03,0.009999999999999998
AXIS/O/O/EIN/21/09/0062,AXIS NIFTY MIDCAP 50 INDEX FUND,2026-02-01,1.0,0.99,0.01,0.23,0.22,0.01,0.0
AXIS/O/S/RET/19/07/0037,Axis Retirement Fund - Aggressive Plan,2026-02-01,2.16,2.17,-0.01,0.92,0.93,-0.01,0.0
BBNP/O/E/MAA/22/09/0030,Baroda BNP Paribas Multi Asset Fund,2026-02-01,1.88,1.87,0.01,0.73,0.71,0.02,0.01
BFAM/O/E /MCF/24/12/0017,Bajaj Finserv Multi Cap Fund,2026-02-01,2.03,2.01,0.02,0.55,0.65,-0.1,-0.12000000000000001
BFAM/O/E/ARB/23/05/0005,Bajaj Finserv Arbitrage Fund,2026-02-01,1.02,1.0,0.02,0.31,0.3,0.01,-0.01
BFAM/O/E/FCF/23/05/0003,Bajaj Finserv Flexi Cap Fund,2026-02-01,1.69,1.67,0.02,0.38,0.41,-0.03,-0.05
BFAM/O/H /MAA/24/04/0010,Bajaj Finserv Multi Asset Allocation Fund,2026-02-01,1.79,1.78,0.01,0.48,0.47,0.01,0.0
BFAM/O/H/BAF/23/05/0007,Bajaj Finserv Balanced Advantage Fund,2026-02-01,1.96,1.95,0.01,0.45,0.44,0.01,0.0
BNDN/O/E /THE/24/02/0071,Bandhan Innovation Fund,2026-02-01,1.91,1.9,0.01,0.51,0.5,0.01,0.0
BNDN/O/E/ELS/08/11/0018,Bandhan ELSS Tax saver Fund,2026-02-01,1.66,1.65,0.01,0.58,0.57,0.01,0.0
BNDN/O/E/FCF/05/06/0011,Bandhan Flexi Cap Fund,2026-02-01,1.65,1.64,0.01,0.92,0.91,0.01,0.0
BNDN/O/E/LCF/06/02/0014,Bandhan Large Cap Fund,2026-02-01,1.91,1.9,0.01,0.75,0.74,0.01,0.0
BNDN/O/E/LMF/05/06/0010,Bandhan Large & Mid Cap Fund,2026-02-01,1.57,1.56,0.01,0.42,0.41,0.01,0.0
BNDN/O/E/MCF/21/09/0048,BANDHAN Multi Cap Fund,2026-02-01,1.82,1.81,0.01,0.45,0.44,0.01,0.0
BNDN/O/E/SCF/19/10/0043,BANDHAN Small Cap Fund,2026-02-01,1.52,1.51,0.01,0.37,0.36,0.01,0.0
BNDN/O/E/SEC/10/09/0024,BANDHAN Infrastructure Fund,2026-02-01,1.95,1.96,-0.01,0.73,0.72,0.01,0.02
BNDN/O/E/SEC/23/01/0063,Bandhan Financial Services Fund,2026-02-01,2.02,2.03,-0.01,0.49,0.48,0.01,0.02
BNDN/O/E/THE/24/08/0074,Bandhan Business Cycle Fund,2026-02-01,1.96,1.97,-0.01,0.47,0.49,-0.02,-0.01
BNDN/O/E/THE/25/05/0085,Bandhan Multi-Factor Fund,2026-02-01,2.21,2.2,0.01,0.61,0.58,0.03,0.019999999999999997
BNDN/O/H/AHF/16/11/0030,Bandhan Aggressive Hybrid Fund,2026-02-01,1.94,1.93,0.01,0.51,0.48,0.03,0.019999999999999997
BNDN/O/H/BAF/14/04/0026,BANDHAN Balanced Advantage Fund,2026-02-01,1.86,1.87,-0.01,0.61,0.6,0.01,0.02
BNDN/O/H/MAA/23/12/0068,Bandhan Multi Asset Allocation Fund,2026-02-01,1.79,1.73,0.06,0.36,0.31,0.05,-0.009999999999999995
BNDN/O/O/FOD/09/11/0019,Bandhan Aggressive Hybrid Passive FOF,2026-02-01,0.52,0.51,0.01,0.07,0.06,0.01,0.0
BNDN/O/O/FOD/09/11/0020,Bandhan Conservative Hybrid Passive FOF,2026-02-01,0.0,0.24,-0.24,0.0,0.04,-0.04,0.19999999999999998
BNDN/O/O/FOD/09/11/0021,Bandhan Multi-Asset Passive FOF,2026-02-01,0.0,0.29,-0.29,0.0,0.05,-0.05,0.24
BNDN/O/O/FOD/25/11/0090,Bandhan Gold ETF FOF,2026-02-01,0.57,0.53,0.04,0.07,0.03,0.04,0.0
BNDN/O/O/FOD/25/11/0091,Bandhan Silver ETF FOF,2026-02-01,0.54,0.53,0.01,0.04,0.03,0.01,0.0
BOIA/O/E/MCF/22/10/0018,Bank of India Multi Cap Fund,2026-02-01,2.06,2.05,0.01,0.74,0.73,0.01,0.0
CANA/O/D/LIF/02/01/0005,Canara Robeco Liquid Fund,2026-02-01,0.22,0.14,0.08,0.07,0.08,-0.01,-0.09
CANA/O/D/LOW/04/12/0009,Canara Robeco Savings Fund,2026-02-01,0.46,0.49,-0.03,0.19,0.21,-0.02,0.009999999999999998
CANA/O/E/ELS/93/03/0003,Canara Robeco ELSS Tax Saver,2026-02-01,1.63,1.62,0.01,0.49,0.5,-0.01,-0.02
CANA/O/E/FOC/21/02/0020,Canara Robeco Focused Fund,2026-02-01,1.82,1.81,0.01,0.4,0.41,-0.01,-0.02
CANA/O/E/LCF/10/03/0014,Canara Robeco Large Cap Fund,2026-02-01,1.54,1.53,0.01,0.39,0.38,0.01,0.0
CANA/O/E/LMF/05/02/0010,Canara Robeco Large and Mid Cap Fund,2026-02-01,1.49,1.48,0.01,0.47,0.46,0.01,0.0
CANA/O/E/MCF/23/02/0024,Canara Robeco Multi Cap Fund,2026-02-01,1.72,1.71,0.01,0.35,0.36,-0.01,-0.02
CANA/O/E/MIF/21/12/0023,Canara Robeco Mid Cap Fund,2026-02-01,1.75,1.74,0.01,0.48,0.47,0.01,0.0
CANA/O/E/SCF/18/12/0018,Canara Robeco Small Cap Fund,2026-02-01,1.58,1.57,0.01,0.37,0.39,-0.02,-0.03
CANA/O/E/THE/05/08/0011,Canara Robeco Infrastructure,2026-02-01,2.11,2.09,0.02,0.83,0.81,0.02,0.0
CANA/O/E/THE/09/05/0013,Canara Robeco Consumer Trends Fund,2026-02-01,1.91,1.9,0.01,0.65,0.64,0.01,0.0
CANA/O/E/THE/23/12/0025,Canara Robeco Manufacturing Fund,2026-02-01,1.96,1.95,0.01,0.66,0.65,0.01,0.0
CANA/O/E/VAF/21/02/0021,Canara Robeco Value Fund,2026-02-01,1.98,1.99,-0.01,0.53,0.52,0.01,0.02
CANA/O/H/BAF/24/04/0026,Canara Robeco Balanced Advantage Fund,2026-02-01,2.0,1.99,0.01,0.63,0.66,-0.03,-0.04
CANA/O/H/BHF/93/02/0002,Canara Robeco Equity Hybrid Fund,2026-02-01,1.6,1.59,0.01,0.46,0.47,-0.01,-0.02
CANA/O/H/MAA/25/02/0027,Canara Robeco Multi Asset Allocation Fund,2026-02-01,1.98,1.96,0.02,0.46,0.44,0.02,0.0
CMND/O/D/LIF/25/11/0002,CAPITALMIND LIQUID FUND,2026-02-01,0.28,0.26,0.02,0.08,0.06,0.02,0.0
CMND/O/E /FCF/25/06/0001,CAPITALMIND FLEXI CAP FUND,2026-02-01,2.24,2.22,0.02,0.84,0.82,0.02,0.0
DSPM/O/D/LIF/98/02/0003,DSP Liquidity Fund,2026-02-01,0.18,0.2,-0.02,0.09,0.11,-0.02,0.0
DSPM/O/D/MMF/99/09/0006,DSP Savings Fund,2026-02-01,0.39,0.38,0.01,0.16,0.15,0.01,0.0
DSPM/O/D/ONF/18/12/0040,DSP Overnight Fund,2026-02-01,0.15,0.12,0.03,0.06,0.07,-0.01,-0.04
DSPM/O/E/ELS/06/11/0016,DSP ELSS Tax Saver Fund,2026-02-01,1.54,1.53,0.01,0.58,0.63,-0.05,-0.060000000000000005
DSPM/O/E/FCF/97/03/0001,DSP Flexi Cap Fund,2026-02-01,1.59,1.58,0.01,0.54,0.55,-0.01,-0.02
DSPM/O/E/FOC/10/03/0022,DSP Focused Fund,2026-02-01,1.82,1.83,-0.01,0.76,0.79,-0.03,-0.019999999999999997
DSPM/O/E/LMF/00/02/0007,DSP Large & Mid Cap Fund,2026-02-01,1.54,1.53,0.01,0.49,0.5,-0.01,-0.02
DSPM/O/E/MCF/23/07/0071,DSP Multicap Fund,2026-02-01,1.84,1.83,0.01,0.4,0.42,-0.02,-0.03
DSPM/O/E/MIF/06/09/0014,DSP Midcap Fund,2026-02-01,1.53,1.52,0.01,0.59,0.6,-0.01,-0.02
DSPM/O/E/SCF/06/09/0015,DSP Small Cap Fund,2026-02-01,1.55,1.54,0.01,0.65,0.64,0.01,0.0
DSPM/O/E/SEC/04/04/0011,DSP India T.I.G.E.R. Fund,2026-02-01,1.71,1.7,0.01,0.6,0.59,0.01,0.0
DSPM/O/E/SEC/08/02/0019,DSP Natural Resources And New Energy Fund,2026-02-01,1.94,1.92,0.02,0.77,0.79,-0.02,-0.04
DSPM/O/E/SEC/18/05/0035,DSP Healthcare Fund,2026-02-01,1.79,1.8,-0.01,0.5,0.51,-0.01,0.0
DSPM/O/E/SEC/23/08/0067,DSP Banking & Financial Services Fund,2026-02-01,1.94,1.93,0.01,0.49,0.48,0.01,0.0
