NSDL Scheme Code,Scheme Name,Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),TER Date (Change),TER Reduction (%)
AXIS/O/H/ARB/14/05/0018,Axis Arbitrage Fund,0.28,0.29,2026-02-01,-0.01
AXIS/O/H/ESF/15/06/0019,Axis Equity Savings Fund,0.86,0.87,2026-02-01,-0.01
AXIS/O/H/MAA/10/05/0007,Axis Multi Asset Allocation Fund,0.73,0.7,2026-02-01,0.03
AXIS/O/O/EIN/21/09/0062,AXIS NIFTY MIDCAP 50 INDEX FUND,0.23,0.22,2026-02-01,0.01
AXIS/O/O/FOO/20/12/0049,Axis Global Innovation Fund of Fund,0.69,0.67,2026-02-01,0.02
AXIS/O/S/RET/19/07/0037,Axis Retirement Fund - Aggressive Plan,0.92,0.93,2026-02-01,-0.01
AXIS/O/S/RET/19/07/0039,Axis Retirement Fund - Dynamic Plan,1.04,1.01,2026-02-01,0.03
BBNP/O/E/MAA/22/09/0030,Baroda BNP Paribas Multi Asset Fund,0.73,0.71,2026-02-01,0.02
BBNP/O/E/MIF/06/01/0009,Baroda BNP Paribas Mid Cap Fund,0.43,0.42,2026-02-01,0.01
BFAM/O/E /ELS/24/11/0015,Bajaj Finserv ELSS Tax Saver Fund,0.45,0.6,2026-02-01,-0.15
BFAM/O/E /MCF/24/12/0017,Bajaj Finserv Multi Cap Fund,0.55,0.65,2026-02-01,-0.1
BFAM/O/E/ARB/23/05/0005,Bajaj Finserv Arbitrage Fund,0.31,0.3,2026-02-01,0.01
BFAM/O/E/FCF/23/05/0003,Bajaj Finserv Flexi Cap Fund,0.38,0.41,2026-02-01,-0.03
BFAM/O/H /MAA/24/04/0010,Bajaj Finserv Multi Asset Allocation Fund,0.48,0.47,2026-02-01,0.01
BFAM/O/H/BAF/23/05/0007,Bajaj Finserv Balanced Advantage Fund,0.45,0.44,2026-02-01,0.01
BNDN/O/D /DIN/25/02/0084,Bandhan CRISIL-IBX Financial Services 3-6 Months Debt Index Fund,0.1,0.09,2026-02-01,0.01
BNDN/O/E /THE/24/02/0071,Bandhan Innovation Fund,0.51,0.5,2026-02-01,0.01
BNDN/O/E/ELS/08/11/0018,Bandhan ELSS Tax saver Fund,0.58,0.57,2026-02-01,0.01
BNDN/O/E/FCF/05/06/0011,Bandhan Flexi Cap Fund,0.92,0.91,2026-02-01,0.01
BNDN/O/E/LCF/06/02/0014,Bandhan Large Cap Fund,0.75,0.74,2026-02-01,0.01
BNDN/O/E/LMF/05/06/0010,Bandhan Large & Mid Cap Fund,0.42,0.41,2026-02-01,0.01
BNDN/O/E/MCF/21/09/0048,BANDHAN Multi Cap Fund,0.45,0.44,2026-02-01,0.01
BNDN/O/E/MIF/21/10/0050,BANDHAN Midcap Fund,0.5,0.49,2026-02-01,0.01
BNDN/O/E/SCF/19/10/0043,BANDHAN Small Cap Fund,0.37,0.36,2026-02-01,0.01
BNDN/O/E/SEC/10/09/0024,BANDHAN Infrastructure Fund,0.73,0.72,2026-02-01,0.01
BNDN/O/E/SEC/23/01/0063,Bandhan Financial Services Fund,0.49,0.48,2026-02-01,0.01
BNDN/O/E/THE/24/08/0074,Bandhan Business Cycle Fund,0.47,0.49,2026-02-01,-0.02
BNDN/O/E/THE/25/05/0085,Bandhan Multi-Factor Fund,0.61,0.58,2026-02-01,0.03
BNDN/O/E/THE/25/08/0087,Bandhan Healthcare Fund,0.52,0.54,2026-02-01,-0.02
BNDN/O/H/AHF/16/11/0030,Bandhan Aggressive Hybrid Fund,0.51,0.48,2026-02-01,0.03
BNDN/O/H/BAF/14/04/0026,BANDHAN Balanced Advantage Fund,0.61,0.6,2026-02-01,0.01
BNDN/O/H/MAA/23/12/0068,Bandhan Multi Asset Allocation Fund,0.36,0.31,2026-02-01,0.05
BNDN/O/O/FOD/09/11/0019,Bandhan Aggressive Hybrid Passive FOF,0.07,0.06,2026-02-01,0.01
BNDN/O/O/FOD/09/11/0020,Bandhan Conservative Hybrid Passive FOF,0.0,0.04,2026-02-01,-0.04
BNDN/O/O/FOD/09/11/0021,Bandhan Multi-Asset Passive FOF,0.0,0.05,2026-02-01,-0.05
BNDN/O/O/FOD/25/11/0090,Bandhan Gold ETF FOF,0.07,0.03,2026-02-01,0.04
BNDN/O/O/FOD/25/11/0091,Bandhan Silver ETF FOF,0.04,0.03,2026-02-01,0.01
BNDN/O/O/FOO/21/06/0047,Bandhan US specific Equity Active FOF,0.5,0.49,2026-02-01,0.01
BOIA/O/E/FCF/20/05/0016,Bank of India Flexi Cap Fund,0.45,0.47,2026-02-01,-0.02
BOIA/O/E/LCF/20/07/0017,Bank of India Large Cap Fund,0.63,0.82,2026-02-01,-0.19
BOIA/O/E/LMF/08/07/0003,Bank of India Large & Mid Cap Fund,0.77,1.0,2026-02-01,-0.23
BOIA/O/E/MCF/22/10/0018,Bank of India Multi Cap Fund,0.74,0.73,2026-02-01,0.01
BOIA/O/E/SCF/18/09/0014,Bank of India Small Cap Fund,0.47,0.46,2026-02-01,0.01
BOIA/O/H/BAF/14/01/0008,Bank of India Balanced Advantage Fund,0.91,1.1,2026-02-01,-0.19
BOIA/O/H/BHF/16/04/0010,Bank of India Mid & Small Cap Equity & Debt Fund,0.62,0.65,2026-02-01,-0.03
BOIA/O/H/MAA/24/01/0019,Bank of India Multi Asset Allocation Fund,0.81,0.72,2026-02-01,0.09
CANA/O/D/BPF/22/02/0022,Canara Robeco Banking and PSU Debt Fund,0.36,0.37,2026-02-01,-0.01
CANA/O/D/CBF/13/11/0016,Canara Robeco Corporate Bond Fund,0.32,0.34,2026-02-01,-0.02
CANA/O/D/DBF/09/02/0012,Canara Robeco Dynamic Bond Fund,0.59,0.62,2026-02-01,-0.03
CANA/O/D/LIF/02/01/0005,Canara Robeco Liquid Fund,0.07,0.08,2026-02-01,-0.01
CANA/O/D/LOW/04/12/0009,Canara Robeco Savings Fund,0.19,0.21,2026-02-01,-0.02
CANA/O/D/MLD/02/05/0006,Canara Robeco Income Fund,0.63,0.64,2026-02-01,-0.01
CANA/O/D/USD/03/03/0007,Canara Robeco Ultra Short Term Fund,0.29,0.31,2026-02-01,-0.02
CANA/O/E/ELS/93/03/0003,Canara Robeco ELSS Tax Saver,0.49,0.5,2026-02-01,-0.01
CANA/O/E/FCF/03/07/0008,Canara Robeco Flexi Cap Fund,0.44,0.43,2026-02-01,0.01
CANA/O/E/FOC/21/02/0020,Canara Robeco Focused Fund,0.4,0.41,2026-02-01,-0.01
CANA/O/E/LCF/10/03/0014,Canara Robeco Large Cap Fund,0.39,0.38,2026-02-01,0.01
CANA/O/E/LMF/05/02/0010,Canara Robeco Large and Mid Cap Fund,0.47,0.46,2026-02-01,0.01
CANA/O/E/MCF/23/02/0024,Canara Robeco Multi Cap Fund,0.35,0.36,2026-02-01,-0.01
CANA/O/E/MIF/21/12/0023,Canara Robeco Mid Cap Fund,0.48,0.47,2026-02-01,0.01
CANA/O/E/SCF/18/12/0018,Canara Robeco Small Cap Fund,0.37,0.39,2026-02-01,-0.02
CANA/O/E/THE/05/08/0011,Canara Robeco Infrastructure,0.83,0.81,2026-02-01,0.02
CANA/O/E/THE/09/05/0013,Canara Robeco Consumer Trends Fund,0.65,0.64,2026-02-01,0.01
CANA/O/E/THE/23/12/0025,Canara Robeco Manufacturing Fund,0.66,0.65,2026-02-01,0.01
CANA/O/E/VAF/21/02/0021,Canara Robeco Value Fund,0.53,0.52,2026-02-01,0.01
CANA/O/H/BAF/24/04/0026,Canara Robeco Balanced Advantage Fund,0.63,0.66,2026-02-01,-0.03
CANA/O/H/BHF/93/02/0002,Canara Robeco Equity Hybrid Fund,0.46,0.47,2026-02-01,-0.01
CANA/O/H/CHF/88/04/0001,Canara Robeco Conservative Hybrid Fund,0.57,0.6,2026-02-01,-0.03
CANA/O/H/MAA/25/02/0027,Canara Robeco Multi Asset Allocation Fund,0.46,0.44,2026-02-01,0.02
CMND/O/D/LIF/25/11/0002,CAPITALMIND LIQUID FUND,0.08,0.06,2026-02-01,0.02
CMND/O/E /FCF/25/06/0001,CAPITALMIND FLEXI CAP FUND,0.84,0.82,2026-02-01,0.02
DSPM/O/D/FLF/21/02/0043,DSP Floater Fund,0.21,0.22,2026-02-01,-0.01
DSPM/O/D/LIF/98/02/0003,DSP Liquidity Fund,0.09,0.11,2026-02-01,-0.02
DSPM/O/D/MMF/99/09/0006,DSP Savings Fund,0.16,0.15,2026-02-01,0.01
DSPM/O/D/ONF/18/12/0040,DSP Overnight Fund,0.06,0.07,2026-02-01,-0.01
DSPM/O/E/ELS/06/11/0016,DSP ELSS Tax Saver Fund,0.58,0.63,2026-02-01,-0.05
DSPM/O/E/FCF/97/03/0001,DSP Flexi Cap Fund,0.54,0.55,2026-02-01,-0.01
DSPM/O/E/FOC/10/03/0022,DSP Focused Fund,0.76,0.79,2026-02-01,-0.03
DSPM/O/E/LCF/03/01/0009,DSP Large Cap Fund,0.67,0.71,2026-02-01,-0.04
DSPM/O/E/LMF/00/02/0007,DSP Large & Mid Cap Fund,0.49,0.5,2026-02-01,-0.01
DSPM/O/E/MCF/23/07/0071,DSP Multicap Fund,0.4,0.42,2026-02-01,-0.02
DSPM/O/E/MIF/06/09/0014,DSP Midcap Fund,0.59,0.6,2026-02-01,-0.01
DSPM/O/E/SCF/06/09/0015,DSP Small Cap Fund,0.65,0.64,2026-02-01,0.01
DSPM/O/E/SEC/04/04/0011,DSP India T.I.G.E.R. Fund,0.6,0.59,2026-02-01,0.01
DSPM/O/E/SEC/08/02/0019,DSP Natural Resources And New Energy Fund,0.77,0.79,2026-02-01,-0.02
DSPM/O/E/SEC/18/05/0035,DSP Healthcare Fund,0.5,0.51,2026-02-01,-0.01
DSPM/O/E/SEC/23/08/0067,DSP Banking & Financial Services Fund,0.49,0.48,2026-02-01,0.01
DSPM/O/E/THE/24/06/0077,DSP Business Cycle Fund,0.53,0.55,2026-02-01,-0.02
